"Customer ID","Purchase Date","Product Category","Product Price","Quantity","Total Purchase Amount","Payment Method","Customer Age","Returns","Customer Name","Age","Gender"
"46251","2020-09-08 09:38:32","Electronics","12","3","36","Credit Card","37","0","Christine Hernandez","37","Female"
"46251","2022-03-05 12:56:35","Home","468","4","1872","PayPal","37","0","Christine Hernandez","37","Female"
"46251","2022-05-23 18:18:01","Home","288","2","576","PayPal","37","0","Christine Hernandez","37","Female"
"46251","2020-11-12 13:13:29","Clothing","196","1","196","PayPal","37","0","Christine Hernandez","37","Female"
"13593","2020-11-27 17:55:11","Home","449","1","449","Credit Card","49","0","James Grant","49","Male"
"13593","2023-03-07 14:17:42","Home","250","4","1000","PayPal","49","1","James Grant","49","Male"
"13593","2023-04-15 03:02:33","Electronics","73","1","73","Credit Card","49","0","James Grant","49","Male"
"13593","2021-03-27 21:23:28","Books","337","2","674","Cash","49","0","James Grant","49","Male"
"13593","2020-05-05 20:14:00","Clothing","182","2","364","PayPal","49","1","James Grant","49","Male"
"28805","2023-09-13 04:24:00","Electronics","394","2","788","Credit Card","19","0","Jose Collier","19","Male"
"28805","2021-03-31 09:50:57","Clothing","366","1","366","PayPal","19","0","Jose Collier","19","Male"
"28805","2021-01-18 22:42:24","Books","348","1","348","Credit Card","19","1","Jose Collier","19","Male"
"28805","2020-01-07 12:57:35","Books","103","4","412","Cash","19","0","Jose Collier","19","Male"
"28805","2021-02-12 20:33:20","Books","240","1","240","PayPal","19","0","Jose Collier","19","Male"
"28805","2020-07-02 02:54:37","Clothing","368","1","368","Credit Card","19","0","Jose Collier","19","Male"
"28961","2021-04-25 23:55:21","Books","30","1","30","PayPal","55","0","James Stein","55","Male"
"28961","2020-01-13 09:57:17","Books","153","5","765","Credit Card","55","0","James Stein","55","Male"
"28961","2023-06-18 21:34:27","Clothing","259","1","259","Credit Card","55","0","James Stein","55","Male"
"28961","2021-09-10 00:39:41","Books","489","3","1467","Credit Card","55","1","James Stein","55","Male"
"28961","2023-06-01 19:07:10","Books","232","3","696","PayPal","55","1","James Stein","55","Male"
"12163","2021-12-18 17:49:18","Clothing","255","2","510","Credit Card","67","0","Sonia Moreno","67","Female"
"12163","2020-06-20 05:56:17","Books","227","3","681","PayPal","67","0","Sonia Moreno","67","Female"
"12163","2023-07-08 13:36:47","Clothing","288","2","576","PayPal","67","0","Sonia Moreno","67","Female"
"12163","2023-07-01 12:36:00","Books","60","3","180","Cash","67","0","Sonia Moreno","67","Female"
"12163","2022-11-16 08:56:03","Home","285","4","1140","Crypto","67","0","Sonia Moreno","67","Female"
"12163","2020-04-07 04:24:44","Books","100","5","500","Cash","67","0","Sonia Moreno","67","Female"
"12163","2020-11-28 16:48:01","Electronics","28","4","112","Credit Card","67","0","Sonia Moreno","67","Female"
"12163","2020-08-21 09:23:52","Electronics","382","2","764","PayPal","67","1","Sonia Moreno","67","Female"
"12163","2023-04-24 23:55:44","Home","400","5","2000","Credit Card","67","1","Sonia Moreno","67","Female"
"28248","2023-04-09 01:33:30","Clothing","410","1","410","Cash","48","0","Kelly Ramirez","48","Female"
"28248","2020-04-26 21:19:56","Books","70","5","350","PayPal","48","0","Kelly Ramirez","48","Female"
"28248","2023-09-12 20:36:28","Home","243","3","729","PayPal","48","0","Kelly Ramirez","48","Female"
"28248","2021-06-25 14:52:44","Home","131","4","524","PayPal","48","0","Kelly Ramirez","48","Female"
"28248","2021-11-24 07:13:08","Home","327","1","327","Cash","48","0","Kelly Ramirez","48","Female"
